Date Time,NOX
,æg/mü as NO2
01:00 01/01/2021,103
02:00 01/01/2021,82
03:00 01/01/2021,63
04:00 01/01/2021,31
05:00 01/01/2021,17
06:00 01/01/2021,27
07:00 01/01/2021,17
08:00 01/01/2021,36
09:00 01/01/2021,29
10:00 01/01/2021,36
11:00 01/01/2021,50
12:00 01/01/2021,38
13:00 01/01/2021,27
14:00 01/01/2021,29
15:00 01/01/2021,34
16:00 01/01/2021,40
17:00 01/01/2021,50
18:00 01/01/2021,36
19:00 01/01/2021,57
20:00 01/01/2021,31
21:00 01/01/2021,27
22:00 01/01/2021,31
23:00 01/01/2021,36
24:00 02/01/2021,29
01:00 02/01/2021,21
02:00 02/01/2021,34
03:00 02/01/2021,67
04:00 02/01/2021,96
05:00 02/01/2021,142
06:00 02/01/2021,155
07:00 02/01/2021,333
08:00 02/01/2021,228
09:00 02/01/2021,256
10:00 02/01/2021,296
11:00 02/01/2021,302
12:00 02/01/2021,140
13:00 02/01/2021,86
14:00 02/01/2021,84
15:00 02/01/2021,115
16:00 02/01/2021,166
17:00 02/01/2021,122
18:00 02/01/2021,105
19:00 02/01/2021,90
20:00 02/01/2021,75
21:00 02/01/2021,46
22:00 02/01/2021,42
23:00 02/01/2021,34
24:00 03/01/2021,38
01:00 03/01/2021,36
02:00 03/01/2021,13
03:00 03/01/2021,10
04:00 03/01/2021,6
05:00 03/01/2021,6
06:00 03/01/2021,6
07:00 03/01/2021,8
08:00 03/01/2021,48
09:00 03/01/2021,59
10:00 03/01/2021,77
11:00 03/01/2021,55
12:00 03/01/2021,71
13:00 03/01/2021,46
14:00 03/01/2021,54
15:00 03/01/2021,73
16:00 03/01/2021,61
17:00 03/01/2021,122
18:00 03/01/2021,134
19:00 03/01/2021,75
20:00 03/01/2021,88
21:00 03/01/2021,77
22:00 03/01/2021,61
23:00 03/01/2021,38
24:00 04/01/2021,29
01:00 04/01/2021,15
02:00 04/01/2021,11
03:00 04/01/2021,27
04:00 04/01/2021,15
05:00 04/01/2021,8
06:00 04/01/2021,17
07:00 04/01/2021,44
08:00 04/01/2021,172
09:00 04/01/2021,143
10:00 04/01/2021,186
11:00 04/01/2021,143
12:00 04/01/2021,107
13:00 04/01/2021,103
14:00 04/01/2021,145
15:00 04/01/2021,88
16:00 04/01/2021,99
17:00 04/01/2021,126
18:00 04/01/2021,120
19:00 04/01/2021,111
20:00 04/01/2021,82
21:00 04/01/2021,40
22:00 04/01/2021,55
23:00 04/01/2021,42
24:00 05/01/2021,36
01:00 05/01/2021,25
02:00 05/01/2021,10
03:00 05/01/2021,10
04:00 05/01/2021,11
